CellNum	Stage	Mother/daughter	mtDNA rep observed	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
5	eG1	M	1	Slide2_020818_37	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	11.871	65.914	61.563	8	255	12.648	17.193	12.489	17.548	782.491	41	1590232
				Slide2_020818_38	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	11.871	38.51	13.532	9	124	12.648	17.193	12.632	17.231	457.168	37	929088
				Slide2_020818_39	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.484	189.022	52.841	41	255	12.389	18.248	12.366	18.245	280.519	196	570090
				Slide2_020818_40	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.484	46.024	13.813	14	120	12.389	18.248	12.39	18.221	68.301	44	138807
				Slide2_020818_41	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.272	34.613	11.612	13	87	13.887	17.926	13.881	17.929	9.419	33	19141
				Slide2_020818_42	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.272	37.618	11.3	15	78	13.887	17.926	13.884	17.928	10.236	36	20803
5	eG1	D		Slide2_020818_43	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	8.04	70.052	67.783	8	255	16.954	17.047	16.659	17.199	563.204	42	1144582
				Slide2_020818_44	1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	8.04	43.115	13.699	10	119	16.954	17.047	16.924	17.046	346.638	42	704461
				Slide2_020818_45	1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.041	208.935	47.753	53	255	16.282	17.538	16.273	17.52	217.544	224	442107
				Slide2_020818_46	1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.041	50.355	13.963	17	110	16.282	17.538	16.293	17.527	52.43	49	106551
				Slide2_020818_47	1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.452	29.755	11.506	8	88	17.707	17.939	17.699	17.933	13.455	28	27345
				Slide2_020818_48	1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.452	40.689	12.125	11	83	17.707	17.939	17.699	17.931	18.4	39	37393
6	G1	D	1	Slide2_020818_49	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	10.132	74.683	64.013	8	255	8.5	15.888	8.491	15.857	756.655	51	1537726
				Slide2_020818_50	1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	10.132	49.196	17.491	9	140	8.5	15.888	8.476	15.853	498.435	47	1012954
				Slide2_020818_51	1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.241	211.256	52.446	47	255	8.849	15.726	8.862	15.71	262.267	236	532998
				Slide2_020818_52	1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.241	63.399	15.825	16	140	8.849	15.726	8.855	15.727	78.708	62	159955
				Slide2_020818_53	1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.277	34.876	13.008	9	86	9.57	16.805	9.557	16.795	9.662	33	19635
				Slide2_020818_54	1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.277	39.389	12.677	13	84	9.57	16.805	9.558	16.794	10.912	38	22176
7	A	M	1	Slide2_020818_55	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	11.247	50.724	38.729	8	255	5.6	4.089	5.282	4.252	570.486	40	1461620
				Slide2_020818_56	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	11.247	37.752	12.02	9	105	5.6	4.089	5.57	4.073	424.586	36	1087815
				Slide2_020818_57	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.072	126.012	47.627	24	255	4.6	4.289	4.54	4.348	135.108	120	346154
				Slide2_020818_58	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.072	39.019	12.021	11	96	4.6	4.289	4.575	4.296	41.835	38	107185
				Slide2_020818_59	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.219	39.368	14.01	9	98	5.258	3.125	5.257	3.136	8.605	37	22046
