CellNum	Stage	Mother/daughter	mtDNA rep observed	ShiftedFlg	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	IntDen	Median	Skew	RawIntDen
				0	Slide2_020818_77	1	1	1	cytoplasm	DAPI	24	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.122	33.371	12.891	NaN	9	90	9.387	15.709	9.39	15.705	4.077	32	NaN	10445
				0	Slide2_020818_78	1	1	1	cytoplasm	EdU	25	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.122	45.115	13.796	NaN	14	103	9.387	15.709	9.386	15.701	5.512	43	NaN	14121
10	G1	M		0	Slide2_020818_79	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.771	70.066	63.248	NaN	8	255	10.395	6.589	10.577	6.851	684.594	48	NaN	1753972
				0	Slide2_020818_80	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.771	52.151	17.339	NaN	11	153	10.395	6.589	10.445	6.618	509.551	50	NaN	1305500
				0	Slide2_020818_81	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.158	216.586	43.304	NaN	63	255	10.824	7.198	10.82	7.181	250.734	232	NaN	642395
				0	Slide2_020818_82	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.158	65.373	17.622	NaN	21	153	10.824	7.198	10.823	7.183	75.68	64	NaN	193896
				0	Slide2_020818_83	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.138	40.323	13.929	NaN	12	89	10.785	8.251	10.782	8.247	5.556	40	NaN	14234
				0	Slide2_020818_84	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.138	51.816	14.744	NaN	22	110	10.785	8.251	10.785	8.249	7.139	50	NaN	18291
11	G1	M	1	0	Slide2_020818_85	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	6.592	78.11	73.268	NaN	8	255	13.893	6.694	13.816	6.984	514.895	47	NaN	1319192
				0	Slide2_020818_86	1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	6.592	50.978	18.37	NaN	9	143	13.873	6.576	13.844	6.618	336.042	49	NaN	860960
				0	Slide2_020818_87	1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.864	233.412	34.689	NaN	77	255	13.893	7.371	13.902	7.356	201.703	255	NaN	516775
				0	Slide2_020818_88	1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.864	60.261	18.559	NaN	14	140	13.893	7.371	13.892	7.343	52.074	58	NaN	133418
				0	Slide2_020818_89	1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.174	47.031	15.332	NaN	15	101	13.756	6.465	13.756	6.478	8.187	45	NaN	20976
				0	Slide2_020818_90	1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.174	61.706	17.196	NaN	22	127	13.756	6.465	13.756	6.47	10.742	59	NaN	27521
12	G1	M		0	Slide2_020818_91	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.429	76.495	66.176	NaN	8	255	5.013	15.994	5.403	16.326	721.285	51	NaN	1847975
				0	Slide2_020818_92	1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.429	48.89	14.777	NaN	9	136	5.013	15.994	5.064	16.025	460.988	47	NaN	1181080
				0	Slide2_020818_93	1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.18	215.576	46.279	NaN	49	255	5.94	16.732	5.958	16.735	254.36	234	NaN	651686
				0	Slide2_020818_94	1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.18	54.765	14.824	NaN	18	122	5.94	16.732	5.934	16.723	64.618	54	NaN	165556
				0	Slide2_020818_95	1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.276	41.19	15.639	NaN	11	102	4.008	16.419	4.027	16.428	11.35	39	NaN	29080
				0	Slide2_020818_96	1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.276	51.013	14.605	NaN	19	110	4.008	16.419	4.015	16.419	14.057	49	NaN	36015
13	G1	M	1	0	Slide2_020818_97	1	1	1	cell	DAPI	20	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	6.186	83.996	73.646	NaN	8	255	6.047	12.731	6.117	12.557	519.572	52	NaN	1331174
				0	Slide2_020818_98	1	1	1	cell	EdU	21	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	6.186	50.451	16.231	NaN	12	138	6.047	12.632	6.064	12.598	312.074	49	NaN	799552
				0	Slide2_020818_99	1	1	1	nuclei	DAPI	22	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.676	246.601	21.416	NaN	102	255	6.148	12.192	6.148	12.197	166.61	255	NaN	426866
				0	Slide2_020818_100	1	1	1	nuclei	EdU	23	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.676	64.817	16.87	NaN	25	138	6.148	12.192	6.152	12.193	43.792	63	NaN	112199
				0	Slide2_020818_101	1	1	1	cytoplasm	DAPI	24	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.116	45.46	13.266	NaN	18	99	6.847	13.492	6.846	13.49	5.288	45	NaN	13547
				0	Slide2_020818_102	1	1	1	cytoplasm	EdU	25	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.116	47.158	13.868	NaN	19	98	6.847	13.492	6.847	13.495	5.485	46	NaN	14053
14	G1	M	1	0	Slide2_020818_103	1	1	1	cell	DAPI	26	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.1	52.782	41.563	NaN	8	255	4.9	9.262	4.898	9.504	480.339	40	NaN	1230657
				0	Slide2_020818_104	1	1	1	cell	EdU	27	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.1	48.979	16.348	NaN	9	139	4.9	9.262	4.879	9.289	445.734	47	NaN	1141998
				0	Slide2_020818_105	1	1	1	nuclei	DAPI	28	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.441	166.152	43.101	NaN	50	255	5.12	10.308	5.129	10.303	73.346	167	NaN	187918
				0	Slide2_020818_106	1	1	1	nuclei	EdU	29	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.441	62.521	17.665	NaN	18	135	5.12	10.308	5.118	10.295	27.599	61	NaN	70711
				0	Slide2_020818_107	1	1	1	cytoplasm	DAPI	30	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.132	42.345	13.15	NaN	14	99	5.954	9.038	5.953	9.036	5.603	41	NaN	14355
				0	Slide2_020818_108	1	1	1	cytoplasm	EdU	31	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.132	50.735	14.469	NaN	19	103	5.954	9.038	5.951	9.035	6.713	50	NaN	17199
15	G1	M		0	Slide2_020818_109	1	1	1	cell	DAPI	32	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	8.144	66.83	62.205	NaN	8	255	13.974	10.422	13.728	10.777	544.249	43	NaN	1394400
				0	Slide2_020818_110	1	1	1	cell	EdU	33	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	8.144	53.725	18.595	NaN	9	160	13.974	10.422	13.922	10.463	437.529	51	NaN	1120975
				0	Slide2_020818_111	1	1	1	nuclei	DAPI	34	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.03	206.403	43.867	NaN	52	255	13.409	11.145	13.4	11.141	212.602	215	NaN	544698
				0	Slide2_020818_112	1	1	1	nuclei	EdU	35	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.03	66.154	19.979	NaN	16	160	13.409	11.145	13.432	11.122	68.14	64	NaN	174580
