"Bin Center"	"wt (n=140)"	"wt +HU (n=124)"	"rad9d (n=160)"	"rad9d +HU (n=170)"
508	100.00000000000000	74.19354838709680	99.375	94.11764705882350
512	100.00000000000000	74.19354838709680	99.375	94.11764705882350
516	100.00000000000000	74.19354838709680	99.375	94.11764705882350
520	100.00000000000000	74.19354838709680	99.375	94.11764705882350
524	100.00000000000000	74.19354838709680	99.375	94.11764705882350
528	100.00000000000000	74.19354838709680	99.375	94.11764705882350
532	100.00000000000000	74.19354838709680	99.375	94.11764705882350
536	100.00000000000000	74.19354838709680	99.375	94.11764705882350
540	100.00000000000000	74.19354838709680	99.375	94.11764705882350
544	100.00000000000000	74.19354838709680	99.375	94.11764705882350
548	100.00000000000000	74.19354838709680	99.375	94.11764705882350
552	100.00000000000000	74.19354838709680	99.375	94.11764705882350
556	100.00000000000000	74.19354838709680	99.375	94.11764705882350
560	100.00000000000000	74.19354838709680	99.375	94.11764705882350
564	100.00000000000000	74.19354838709680	99.375	94.11764705882350
568	100.00000000000000	74.19354838709680	99.375	94.11764705882350
572	100.00000000000000	74.19354838709680	99.375	94.11764705882350
576	100.00000000000000	74.19354838709680	99.375	94.11764705882350
580	100.00000000000000	74.19354838709680	99.375	94.11764705882350
584	100.00000000000000	74.19354838709680	99.375	94.11764705882350
588	100.00000000000000	74.19354838709680	99.375	94.11764705882350
592	100.00000000000000	74.19354838709680	99.375	94.11764705882350
596	100.00000000000000	74.19354838709680	99.375	94.11764705882350
600	100.00000000000000	74.19354838709680	99.375	94.11764705882350
604	100.00000000000000	74.19354838709680	99.375	94.11764705882350
608	100.00000000000000	74.19354838709680	99.375	94.11764705882350
612	100.00000000000000	74.19354838709680	99.375	94.11764705882350
616	100.00000000000000	74.19354838709680	99.375	94.11764705882350
620	100.00000000000000	74.19354838709680	99.375	94.11764705882350
624	100.00000000000000	74.19354838709680	99.375	94.11764705882350
628	100.00000000000000	74.19354838709680	99.375	94.11764705882350
632	100.00000000000000	74.19354838709680	99.375	94.11764705882350
636	100.00000000000000	74.19354838709680	99.375	94.11764705882350
640	100.00000000000000	74.19354838709680	99.375	94.11764705882350
644	100.00000000000000	74.19354838709680	99.375	94.11764705882350
648	100.00000000000000	74.19354838709680	99.375	94.11764705882350
652	100.00000000000000	74.19354838709680	99.375	94.11764705882350
656	100.00000000000000	74.19354838709680	99.375	94.11764705882350
660	100.00000000000000	74.19354838709680	99.375	94.11764705882350
664	100.00000000000000	74.19354838709680	99.375	94.11764705882350
668	100.00000000000000	74.19354838709680	99.375	94.11764705882350
672	100.00000000000000	74.19354838709680	99.375	94.11764705882350
676	100.00000000000000	74.19354838709680	99.375	94.11764705882350
680	100.00000000000000	74.19354838709680	99.375	94.11764705882350
684	100.00000000000000	74.19354838709680	99.375	94.11764705882350
688	100.00000000000000	74.19354838709680	99.375	94.11764705882350
692	100.00000000000000	74.19354838709680	99.375	94.11764705882350
696	100.00000000000000	74.19354838709680	99.375	94.11764705882350
700	100.00000000000000	74.19354838709680	99.375	94.11764705882350
704	100.00000000000000	74.19354838709680	99.375	94.11764705882350
708	100.00000000000000	74.19354838709680	99.375	94.11764705882350
712	100.00000000000000	74.19354838709680	99.375	94.11764705882350
