Htb2_psf2_HUn_rad9n_met	Htb2_psf2_HUn_rad9y_met	Htb2_WT_HUn_rad9n_met	Htb2_WT_HUy_rad9n_met	Htb2_WT_HUn_rad9y_met	Htb2_WT_HUy_rad9y_met	Htb2_WT_HUn_rad9n_noc	Htb2_pol2_HUn_rad9n_noc	Spc42_WT_HUn_rad9n_noc	Spc42_pol2_HUn_rad9n_noc	Htb2_pol1_HUn_rad9n_met	Htb2_pol2_HUn_rad9n_met	Htb2_pol3_HUn_rad9n_met	Htb2_WT37_HUn_rad9n_met
NaN	NaN	15	12	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	15	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	12	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	20	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
